channelid,categoryid,subscribercount
UCYRRKA07mLG8fpkDqhJXZAg,27,65435
UC0NuyXHym-Oatwfpab2LAMA,20,23186
UCP0hHZRg87pWVJCOgueslmw,22,4386
UCI1q-BRy1m5YT87DUyFyUQg,27,5
UCvpTHwinUOwXS9TfSz4LEEg,17,35
UCOtMIE18ug3jX70PSmdz8kA,19,94
UC9v5r_aHplJ7dHegXaeulAA,24,109
UC-iuonKZZC9krPa-RpwMO9w,28,265
UCazFRHqhI2ql16hePyTVNng,1,9059
UCBoR0Yu5hqiGEJdYM8nRT0g,26,308
UCI-Oq7oFGakzSzHFlTtsUsQ,17,247654
UCEKSOXh7GGPbTtr6viRUI5A,23,86
UCNEiwm4i-qmILrmG9XDzcrA,10,233
UCRvCWWrrL43n2aOD1jPu4sw,24,134
UCAbdtc3JlwVH-s4Dg-jnPrw,2,335
UC5oRfIfcuPX0F9PjIpPa7YQ,24,1164
UCCc5t3tYj-fKc90BwGVblSA,24,14
UC-zEBxX9Xzun4mli2ArKjjQ,27,10
UC2khVqh0WQxLC4b6rLcnl9g,10,91
UC1cIGhTo0WiOp0VRAglCaSA,27,251642
UCvZL5CwtJt_I5dI15AeHy-w,22,13
UCUNmR55jFF7o0u4oVqoXCsg,24,190
UCpmadplEROgHA_9m0Cse1Gg,22,11308
UChPBqNUzjWkU3uGra_S0log,22,119
UC8OOMKporuqEBJZ8uf7fAsw,22,101
UCZfogiS6Mf27r53CLJJehLQ,17,481
UCwyXamwtzfDIvRjEFcqNmSw,26,39905
UCETKopbJ3g1KlZVAvaw7dUw,25,15901
UCMf8mzKBLR9uaQKUMbRdr1g,27,6988
UCKZ0P5KGj32fvuKS8pwzbFQ,20,220
UCMc5gfr6_RSpNAKjiQf_xZg,17,7
UCYHKWbpx6eX_ydppBcOIOng,17,19618
UCFuBDJYsra9hg4YiLxjobEQ,24,6099
UCdAiIwrJ3F8cKdC0H5vZjsw,22,20
UC_qModsQsEozKSO1u6XbYsw,22,35934
UCGHhehKQoYA0zeWiikDO6EQ,22,5713
UC2JqhLQPIghWC6wLXYWYWow,20,1824
UC9-Gf8yxR0eqECaBRjpGiNQ,2,270
UCLU580lMb6AGMlu85TfGmMA,17,4405
UCzcLeFkKzrPWQGDLiF9-6MA,2,190
UC0N_fyvf9fnDv6V_kdK2jHg,23,87
UClZsfG_SfyBAGaafLxymoVA,1,2982
UCNylwDpBH_yziJ6VbJMIZ_Q,24,16978
UCDCZa9Yt64NX1_eWa-HNDhw,2,719
UCKa8-ht-gbMxHFgQVuCgG3Q,17,5
UC9bAont0I2B1RJVYEHeX_qw,17,6
UCPcE_Bp5kaopWuZ59zsvqvQ,24,351
UCjjXSlYkhse4uaXmq5lwlQA,17,45
UCe4iMXmL24pauN6SC_8AGYg,24,19
UCdV5g3jVn-sTw1VgULj0EfA,1,203
UCzC-pzvjHz9Nj4KgkPvtD7Q,26,80
UCVXcohmX3PIsbc0Djrr_dZw,22,647
UCt5nMEki451pwJrO_4OhIsA,17,109
UCK_zmTIJCyKTGnlXdSKKvcA,2,573
UCmsO3CyGDSgi1-XhkVns3TA,20,487339
UCS8Oy03UZuvCL4jNvzgLHXA,10,4
UCTVC4jP5RceBX_qSvFTwizg,24,51
UCunJeWziKeN41EqEHoJfzDA,27,38634
UCqDNFlsAGhGrwGnFMrNaACw,22,3
UCWRosBEZSnIyvsV1yHrk97w,22,202
UCIiRSZloKxBXCU6u3cAfg1A,10,12
UCdPyAsYflQVKjGFjT5ZrJ3Q,2,11
UCDLHEEfT71h6GBQDpTGGyDA,2,5300
UCe5-2h1sTwR4F5cWrupuQ2A,28,2
UCIl0UtYEi5BWJmpCouaAU-w,10,4470
UCkXEPd0bVvOlEVXlIuIWCQg,17,68103
UC1LVhxuYxOdBaX8iEaErylg,26,187
UCjNFxOkOT6d2gPpXh4ecvOQ,20,79
UCIjpoZ2hD7qUDmKMOzRU_ag,25,20
UCos81LHdCNhZWn7CYFPEysg,15,13
UCJlXjjGnGysAe3LRq6NWfxg,26,422
UCc9zA_V3pbPux4c9ngKwMMQ,17,1297
UCbYQWsGwpxrmbP7VpRINM9Q,19,2
UCJaPR4kL_Y2olCCOgU3TS4A,23,23
UC89o5O4MacqEEK7j--UJAOQ,2,102
UCPgUOEE12K_Ku8EYXEjcVYg,20,34
UCIzbYH4cwPZ7XRSBvtVoWzw,27,61
UChMkPgagIDBzN9VFJNDuvYg,17,470
UCnYvIsMJm5-ulb5-VOdSk2Q,26,10
UCB3Rc71N4FReiNE_IOtzoLA,10,12175
UCP-fzpy8_36RSEv22CFqZUA,20,1079
UCcHmf8is3Oct4LV2KCHehhg,10,3334
UC2LFjIOL8mNSF2kxXkqHGBQ,24,3
UCxWVvknNtioCKy0ADYV_1VQ,20,612
UC-PkBTL6H7MwKrMYkOI3sRw,17,13
UCgTjPatXdSA5V0GDjBZh7pQ,2,95
UCWsr56sq5GBeikcLlBIvSpw,1,20
UCx_jxl-J4SSi81SQ_myy9xA,20,3
UCvueeIpQ6l5BlyzUTWY13eQ,10,1421
UCUjcrwk5MFPfYbQ4XZptf1A,24,625
UCImYogn-FXSu5nlVHx4GUhw,17,1538
UCpuAPXDuJKe5fAuSLCG8LDg,17,128006
UCzEcHV6aIUco6EaMd-dVP_A,10,391
UCmIIBhzBfzoAt51zqdun_6g,2,81979
UCGdZKY7dD8H2Ecsq9__xeqQ,22,1487
